35 [1, 0.0, 0.4] 0 -0.06666666666666667 [1, 0.0, 0.4]
36 [1, 0.0, 0.4] 0 -0.06666666666666667 [1, 0.0, 0.4]
37 [1, 0.0, 0.4] 0 -0.5666666666666667 [1, 0.0, 0.4]
38 [1, 0.0, 0.4] 0 -0.06666666666666667 [1, 0.0, 0.4]
39 [1, 0.0, 0.4] 4 -0.6333333333333333 [2, 0.1, 0.4]
40 [2, 0.1, 0.4] 2 -0.6333333333333333 [2, 0.0, 0.4]
41 [2, 0.0, 0.4] 2 -0.13333333333333333 [2, 0.0, 0.4]
42 [2, 0.0, 0.4] 2 -0.13333333333333333 [2, 0.0, 0.4]
43 [2, 0.0, 0.4] 3 -0.16666666666666666 [2, 0.0, 0.5]
44 [2, 0.0, 0.5] 1 -0.13333333333333333 [2, 0.0, 0.4]
45 [2, 0.0, 0.4] 2 -0.13333333333333333 [2, 0.0, 0.4]
46 [2, 0.0, 0.4] 2 -0.13333333333333333 [2, 0.0, 0.4]
47 [2, 0.0, 0.4] 4 -0.20000000000000004 [3, 0.0, 0.4]
48 [3, 0.0, 0.4] 0 -0.5139860118554294 [2, 0.0, 0.4]
49 [2, 0.0, 0.4] 0 -0.06666666666666667 [1, 0.0, 0.4]
50 [1, 0.0, 0.4] 0 -0.06666666666666667 [1, 0.0, 0.4]
51 [1, 0.0, 0.4] 0 -0.48115989298158496 [1, 0.0, 0.4]
52 [1, 0.0, 0.4] 4 -0.5046531371641101 [2, 0.0, 0.4]
53 [2, 0.0, 0.4] 1 -0.13333333333333333 [2, 0.0, 0.4]
54 [2, 0.0, 0.4] 4 -0.7000000000000001 [3, 0.0, 0.4]
55 [3, 0.0, 0.4] 0 -0.13333333333333333 [2, 0.0, 0.4]
56 [2, 0.0, 0.4] 2 -0.13333333333333333 [2, 0.0, 0.4]
57 [2, 0.0, 0.4] 1 -0.13333333333333333 [2, 0.0, 0.4]
58 [2, 0.0, 0.4] 2 -0.13333333333333333 [2, 0.0, 0.4]
59 [2, 0.0, 0.4] 1 -0.13333333333333333 [2, 0.0, 0.4]
60 [2, 0.0, 0.4] 0 -0.06666666666666667 [1, 0.0, 0.4]
61 [1, 0.0, 0.4] 4 -0.5966511881205816 [2, 0.0, 0.4]
62 [2, 0.0, 0.4] 4 -0.20000000000000004 [3, 0.0, 0.4]
63 [3, 0.0, 0.4] 0 -0.13333333333333333 [2, 0.0, 0.4]
64 [2, 0.0, 0.4] 0 -0.5666666666666667 [1, 0.0, 0.4]
65 [1, 0.0, 0.4] 3 -0.5127183430275427 [1, 0.0, 0.5]
66 [1, 0.0, 0.5] 3 -0.09999999999999999 [1, 0.0, 0.6]
67 [1, 0.0, 0.6] 3 -0.6166666666666667 [1, 0.0, 0.7]
68 [1, 0.0, 0.7] 4 -0.2333333333333333 [2, 0.0, 0.7]
69 [2, 0.0, 0.7] 3 -0.26666666666666666 [2, 0.0, 0.8]
70 [2, 0.0, 0.8] 0 -0.13333333333333333 [1, 0.0, 0.8]
71 [1, 0.0, 0.8] 3 -0.15 [1, 0.0, 0.9]
72 [1, 0.0, 0.9] 2 -0.15 [1, 0.0, 0.9]
73 [1, 0.0, 0.9] 0 -0.15 [1, 0.0, 0.9]
